0xA6CC	米	U+7C73
0xA6CD	糸	U+7CF8
0xA6CE	缶	U+7F36
0xA6CF	羊	U+7F8A
0xA6D0	羽	U+7FBD
0xA6D1	老	U+8001
0xA6D2	考	U+8003
0xA6D3	而	U+800C
0xA6D4	耒	U+8012
0xA6D5	耳	U+8033
0xA6D6	聿	U+807F
0xA6D7	肉	U+8089
0xA6D8	肋	U+808B
0xA6D9	肌	U+808C
0xA6DA	臣	U+81E3
0xA6DB	自	U+81EA
0xA6DC	至	U+81F3
0xA6DD	臼	U+81FC
0xA6DE	舌	U+820C
0xA6DF	舛	U+821B
0xA6E0	舟	U+821F
0xA6E1	艮	U+826E
0xA6E2	色	U+8272
0xA6E3	艾	U+827E
0xA6E4	虫	U+866B
0xA6E5	血	U+8840
0xA6E6	行	U+884C
0xA6E7	衣	U+8863
0xA6E8	西	U+897F
0xA6E9	阡	U+9621
0xA6EA	串	U+4E32
0xA6EB	亨	U+4EA8
0xA6EC	位	U+4F4D
0xA6ED	住	U+4F4F
0xA6EE	佇	U+4F47
0xA6EF	佗	U+4F57
0xA6F0	佞	U+4F5E
0xA6F1	伴	U+4F34
0xA6F2	佛	U+4F5B
0xA6F3	何	U+4F55
0xA6F4	估	U+4F30
0xA6F5	佐	U+4F50
0xA6F6	佑	U+4F51
0xA6F7	伽	U+4F3D
0xA6F8	伺	U+4F3A
0xA6F9	伸	U+4F38
0xA6FA	佃	U+4F43
0xA6FB	佔	U+4F54
0xA6FC	似	U+4F3C
0xA6FD	但	U+4F46
0xA6FE	佣	U+4F63
0xA740	作	U+4F5C
0xA741	你	U+4F60
0xA742	伯	U+4F2F
0xA743	低	U+4F4E
0xA744	伶	U+4F36
0xA745	余	U+4F59
0xA746	佝	U+4F5D
0xA747	佈	U+4F48
0xA748	佚	U+4F5A
0xA749	兌	U+514C
0xA74A	克	U+514B
0xA74B	免	U+514D
0xA74C	兵	U+5175
0xA74D	冶	U+51B6
0xA74E	冷	U+51B7
0xA74F	別	U+5225
0xA750	判	U+5224
0xA751	利	U+5229
0xA752	刪	U+522A
0xA753	刨	U+5228
0xA754	劫	U+52AB
0xA755	助	U+52A9
0xA756	努	U+52AA
0xA757	劬	U+52AC
0xA758	匣	U+5323
0xA759	即	U+5373
