0xB3D1	逞	U+901E
0xB3D2	骋	U+9A8B
0xB3D3	秤	U+79E4
0xB3D4	吃	U+5403
0xB3D5	痴	U+75F4
0xB3D6	持	U+6301
0xB3D7	匙	U+5319
0xB3D8	池	U+6C60
0xB3D9	迟	U+8FDF
0xB3DA	弛	U+5F1B
0xB3DB	驰	U+9A70
0xB3DC	耻	U+803B
0xB3DD	齿	U+9F7F
0xB3DE	侈	U+4F88
0xB3DF	尺	U+5C3A
0xB3E0	赤	U+8D64
0xB3E1	翅	U+7FC5
0xB3E2	斥	U+65A5
0xB3E3	炽	U+70BD
0xB3E4	充	U+5145
0xB3E5	冲	U+51B2
0xB3E6	虫	U+866B
0xB3E7	崇	U+5D07
0xB3E8	宠	U+5BA0
0xB3E9	抽	U+62BD
0xB3EA	酬	U+916C
0xB3EB	畴	U+7574
0xB3EC	踌	U+8E0C
0xB3ED	稠	U+7A20
0xB3EE	愁	U+6101
0xB3EF	筹	U+7B79
0xB3F0	仇	U+4EC7
0xB3F1	绸	U+7EF8
0xB3F2	瞅	U+7785
0xB3F3	丑	U+4E11
0xB3F4	臭	U+81ED
0xB3F5	初	U+521D
0xB3F6	出	U+51FA
0xB3F7	橱	U+6A71
0xB3F8	厨	U+53A8
0xB3F9	躇	U+8E87
0xB3FA	锄	U+9504
0xB3FB	雏	U+96CF
0xB3FC	滁	U+6EC1
0xB3FD	除	U+9664
0xB3FE	楚	U+695A
0xB4A1	础	U+7840
0xB4A2	储	U+50A8
0xB4A3	矗	U+77D7
0xB4A4	搐	U+6410
0xB4A5	触	U+89E6
0xB4A6	处	U+5904
0xB4A7	揣	U+63E3
0xB4A8	川	U+5DDD
0xB4A9	穿	U+7A7F
0xB4AA	椽	U+693D
0xB4AB	传	U+4F20
0xB4AC	船	U+8239
0xB4AD	喘	U+5598
0xB4AE	串	U+4E32
0xB4AF	疮	U+75AE
0xB4B0	窗	U+7A97
0xB4B1	幢	U+5E62
0xB4B2	床	U+5E8A
0xB4B3	闯	U+95EF
0xB4B4	创	U+521B
0xB4B5	吹	U+5439
0xB4B6	炊	U+708A
0xB4B7	捶	U+6376
0xB4B8	锤	U+9524
0xB4B9	垂	U+5782
0xB4BA	春	U+6625
0xB4BB	椿	U+693F
0xB4BC	醇	U+9187
0xB4BD	唇	U+5507
0xB4BE	淳	U+6DF3
0xB4BF	纯	U+7EAF
0xB4C0	蠢	U+8822
0xB4C1	戳	U+6233
0xB4C2	绰	U+7EF0
0xB4C3	疵	U+75B5
0xB4C4	茨	U+8328
0xB4C5	磁	U+78C1
0xB4C6	雌	U+96CC
0xB4C7	辞	U+8F9E
0xB4C8	慈	U+6148
0xB4C9	瓷	U+74F7
0xB4CA	词	U+8BCD
0xB4CB	此	U+6B64
0xB4CC	刺	U+523A
0xB4CD	赐	U+8D50
0xB4CE	次	U+6B21
0xB4CF	聪	U+806A
0xB4D0	葱	U+8471
0xB4D1	囱	U+56F1
0xB4D2	匆	U+5306
0xB4D3	从	U+4ECE
0xB4D4	丛	U+4E1B
0xB4D5	凑	U+51D1
0xB4D6	粗	U+7C97
0xB4D7	醋	U+918B
0xB4D8	簇	U+7C07
0xB4D9	促	U+4FC3
0xB4DA	蹿	U+8E7F
0xB4DB	篡	U+7BE1
0xB4DC	窜	U+7A9C
0xB4DD	摧	U+6467
0xB4DE	崔	U+5D14
0xB4DF	催	U+50AC
0xB4E0	脆	U+8106
0xB4E1	瘁	U+7601
0xB4E2	粹	U+7CB9
0xB4E3	淬	U+6DEC
0xB4E4	翠	U+7FE0
0xB4E5	村	U+6751
0xB4E6	存	U+5B58
0xB4E7	寸	U+5BF8
0xB4E8	磋	U+78CB
0xB4E9	撮	U+64AE
0xB4EA	搓	U+6413
0xB4EB	措	U+63AA
0xB4EC	挫	U+632B
0xB4ED	错	U+9519
0xB4EE	搭	U+642D
0xB4EF	达	U+8FBE
0xB4F0	答	U+7B54
0xB4F1	瘩	U+7629
0xB4F2	打	U+6253
0xB4F3	大	U+5927
0xB4F4	呆	U+5446
0xB4F5	歹	U+6B79
0xB4F6	傣	U+50A3
0xB4F7	戴	U+6234
0xB4F8	带	U+5E26
0xB4F9	殆	U+6B86
0xB4FA	代	U+4EE3
0xB4FB	贷	U+8D37
0xB4FC	袋	U+888B
0xB4FD	待	U+5F85
0xB4FE	逮	U+902E
0xB5A1	怠	U+6020
